cpd_id	atom	marvin_pka	molgpka_pka	abs_diff	type	functional_group	diff	change_category	est_dg_shift_kj
cpd00031	14	12.46	10.271546363830566	2.1884536361694344	A	alcohol_or_phenol	-2.1884536361694344	Large (2.0-5.0)	12.491710217578913
cpd00031	15	10.16	7.517335891723633	2.6426641082763678	A	aromatic_n	-2.6426641082763673	Large (2.0-5.0)	15.084347092116857
cpd00031	19	13.98	10.451911926269531	3.528088073730469	A	alcohol_or_phenol	-3.528088073730469	Large (2.0-5.0)	20.138353909237253
cpd00031	6	-2.77	2.2312512397766118	5.001251239776611	B	aromatic_n	5.001251239776612	Very large (>5.0)	28.547180611945038
cpd00031	9	0.48	2.5261268615722656	2.0461268615722656	B	aromatic_n	2.0461268615722656	Large (2.0-5.0)	11.679307891531712
cpd00032	1	3.58	2.3943488597869877	1.1856511402130128	A	carboxylic_acid_or_ester	-1.1856511402130123	Moderate (0.5-2.0)	6.767705843934222
cpd00032	3	15.78	6.280057907104492	9.499942092895507	A	other	-9.499942092895507	Very large (>5.0)	54.225742664553806
cpd00032	6	2.41	2.4501519203186035	0.0401519203186033	A	carboxylic_acid_or_ester	0.040151920318603374	Small (<0.5)	0.2291874705544271
cpd00033	3	2.31	2.093101501464844	0.2168984985351563	A	carboxylic_acid_or_ester	-0.21689849853515586	Small (<0.5)	1.2380583008701982
cpd00033	5	9.24	9.635560989379885	0.3955609893798826	B	tertiary_amine	0.3955609893798844	Small (<0.5)	2.257865175229942
cpd00035	1	2.47	2.373225212097168	0.0967747879028322	A	carboxylic_acid_or_ester	-0.09677478790283223	Small (<0.5)	0.5523912350118653
cpd00035	6	9.48	9.83204746246338	0.3520474624633785	B	tertiary_amine	0.35204746246338026	Small (<0.5)	2.0094896283130748
cpd00036	1	3.55	3.4372329711914062	0.1127670288085935	A	carboxylic_acid_or_ester	-0.11276702880859357	Small (<0.5)	0.6436750693242753
cpd00036	6	5.69	3.4372332096099854	2.252766790390015	A	carboxylic_acid_or_ester	-2.252766790390015	Large (2.0-5.0)	12.85881019741132
cpd00037	9	12.59	11.155924797058104	1.4340752029418944	A	alcohol_or_phenol	-1.4340752029418962	Moderate (0.5-2.0)	8.185712308130833
cpd00037	10	9.7	8.43919563293457	1.260804367065429	A	aromatic_n	-1.260804367065429	Moderate (0.5-2.0)	7.196681041873335
cpd00037	14	13.11	10.800960540771484	2.309039459228515	A	alcohol_or_phenol	-2.309039459228515	Large (2.0-5.0)	13.18001502472981
cpd00037	30	12.03	10.707268714904783	1.3227312850952142	A	amide_nh	-1.322731285095216	Moderate (0.5-2.0)	7.550160367142417
