rxn_id	old_dg	new_dg	diff	abs_diff	old_model_only	new_model_only	old_pH_correction	new_pH_correction	pH_correction_diff
rxn00083	3.2741675638709467	3.240850779893549	-0.03331678397739779	0.03331678397739779	0.0	0.0	3.2741675638709467	3.240850779893549	-0.03331678397739779
rxn00084	-325.3445647883922	-325.31731844805233	0.0272463403398433	0.0272463403398433	-371.7298055357794	-371.7298055357794	46.38524074738723	46.41248708772707	0.0272463403398433
rxn00085	45.25976364489705	45.23710959869797	-0.022654046199079403	0.022654046199079403	93.21348476836178	93.21348476836178	-47.95372112346473	-47.97637516966381	-0.022654046199079403
rxn00086	101.6421565499447	101.56885690933765	-0.07329964060704697	0.07329964060704697	63.09198281690939	63.09198281690939	38.55017373303531	38.47687409242826	-0.07329964060704697
rxn00087	75.9650044182978	75.03218806037565	-0.9328163579221496	0.9328163579221496	38.33296179026742	38.33296179026742	37.632042628030376	36.69922627010823	-0.9328163579221496
rxn00088	-13.3180246338095	-12.70986205787765	0.6081625759318499	0.6081625759318499	-15.945629033242938	-15.945629033242938	2.6276043994334373	3.235766975365287	0.6081625759318499
rxn00090	-29.0937837907922	-29.139837091059405	-0.04605330026720367	0.04605330026720367	-114.02891059154439	-114.02891059154439	84.93512680075219	84.88907350048498	-0.04605330026720367
rxn00091	-295.03174506827446	-292.43489086338093	2.596854204893532	2.596854204893532	-290.81549393113966	-290.81549393113966	-4.216251137134805	-1.6193969322412798	2.596854204893525
rxn00092	-24.011340760404096	-26.471715381556805	-2.4603746211527096	2.4603746211527096	58.25567403563173	58.25567403563173	-82.26701479603582	-84.72738941718853	-2.4603746211527096
rxn00093	-24.31542695338476	-24.32476577046225	-0.009338817077491512	0.009338817077491512	-63.84602221434744	-63.84602221434744	39.530595260962684	39.52125644388519	-0.009338817077491512
rxn00095	-6.4282905127304275	-0.112737616362665	6.3155528963677625	6.3155528963677625	-6.586907089496435	-6.586907089496435	0.1586165767660077	6.47416947313377	6.3155528963677625
rxn00096	-19.031119177147502	-26.062305683842624	-7.031186506695121	7.031186506695121	20.347357890381772	20.347357890381772	-39.378477067529275	-46.409663574224396	-7.031186506695121
rxn00097	-1.4480689294739477	0.2966720813515167	1.7447410108254644	1.7447410108254644	-44.49522323474639	-44.49522323474639	43.04715430527244	44.79189531609791	1.7447410108254644
rxn00098	-23.68292924996348	-24.554951882739637	-0.872022632776158	0.872022632776158	13.760450800885337	13.760450800885337	-37.443380050848816	-38.315402683624974	-0.872022632776158
rxn00099	-132.44893779042678	-133.16460035219998	-0.7156625617732004	0.7156625617732004	-93.22907729962867	-93.22907729962867	-39.21986049079811	-39.93552305257132	-0.7156625617732075
rxn00100	0.06539520324955106	0.8856264409606922	0.8202312377111411	0.8202312377111411	47.35356870771639	47.35356870771639	-47.28817350446684	-46.4679422667557	0.8202312377111411
rxn00101	-29.968621552280254	-29.968621552280254	0.0	0.0	-109.76992965023182	-109.76992965023182	79.80130809795156	79.80130809795156	0.0
rxn00102	6.305009490555378	6.305009490555378	0.0	0.0	-35.253619781314256	-35.253619781314256	41.558629271869634	41.558629271869634	0.0
